using device: cuda
Model parameters: 135.18M
loaded 338025 tokens
1 epoch = 165 batches
Starting training...
step 820 | loss: 4.9491 | dt: 2688.01ms | tok/sec: 761.90
step 830 | loss: 4.7404 | dt: 2688.48ms | tok/sec: 761.77
step 840 | loss: 4.1571 | dt: 2683.11ms | tok/sec: 763.29
step 850 | loss: 4.2970 | dt: 2673.24ms | tok/sec: 766.11
step 860 | loss: 4.1351 | dt: 2673.66ms | tok/sec: 765.99
step 870 | loss: 4.5339 | dt: 2723.79ms | tok/sec: 751.89
step 880 | loss: 4.7270 | dt: 2655.06ms | tok/sec: 771.36
step 890 | loss: 4.5174 | dt: 2654.60ms | tok/sec: 771.49
step 900 | loss: 4.7254 | dt: 2671.42ms | tok/sec: 766.63
step 910 | loss: 4.2173 | dt: 2706.20ms | tok/sec: 756.78
step 920 | loss: 4.4660 | dt: 2687.33ms | tok/sec: 762.09
step 930 | loss: 4.8292 | dt: 2668.57ms | tok/sec: 767.45
step 940 | loss: 4.8714 | dt: 2681.79ms | tok/sec: 763.67
step 950 | loss: 4.5977 | dt: 2689.44ms | tok/sec: 761.50
step 960 | loss: 3.9432 | dt: 2693.87ms | tok/sec: 760.24
step 970 | loss: 4.4277 | dt: 2685.85ms | tok/sec: 762.51
step 980 | loss: 3.9359 | dt: 2665.88ms | tok/sec: 768.23
step 990 | loss: 4.6091 | dt: 2693.13ms | tok/sec: 760.45
step 1000 | loss: 4.0868 | dt: 2702.22ms | tok/sec: 757.90

--- Generating text at step 1000 ---
! then he did you
And pray them have be devour carries meet
And dare man, general's true.

LidINIUS:
'I can I hope with you were access with call me.

HONAN
-----------------------------------

step 1010 | loss: 4.4185 | dt: 2691.11ms | tok/sec: 761.03
step 1020 | loss: 4.2212 | dt: 2687.50ms | tok/sec: 762.05
step 1030 | loss: 4.4616 | dt: 2670.47ms | tok/sec: 766.91
step 1040 | loss: 4.4004 | dt: 2662.88ms | tok/sec: 769.09
step 1050 | loss: 4.1682 | dt: 2705.36ms | tok/sec: 757.02
